,NANDO,MONDO,OMIM,Orphanet,DO
NANDO,,2091,982,1796,1561
MONDO,1556,,10069,10380,11856
OMIM,687,10168,,3850,5334
Orphanet,1275,10492,3854,,3748
DO,1142,12032,5343,3756,
